date,gap theme,subject,"ticket text (truncated, personal data removed)"
2025-01-07,Backups / archiving / data retention,retrieve an archived event,please can you help me find this event as we would like to duplicate it for March 2025.
2025-01-16,Backups / archiving / data retention,Missing archived events,"Hello, I wanted to check details in two archived events: be24 Behavioral Economics Conference, and mmi24 Macro, Money, and International Finance. I can't find them anywhere, but am sure that we haven't deleted them in purpose?"
2025-02-18,Backups / archiving / data retention,Archived data?,Do you happen to have in your archive any of the data about EPICOH 2011 in Oxford? You were a wonderful organisation then. We are trying to compile a record of our old conferences.
2025-03-26,Backups / archiving / data retention,submission archived,"hello, my submission results were archived, I was wanting to see the commentary again."
2025-03-27,Backups / archiving / data retention,Archive old event and create new,"Dear Oxford Abstract team, We used your system for a conference last August and were really happy with how everything worked. We'd now like to use Oxford Abstracts again for an upcoming conference. I still have the account and login details for the last event - how would we go about setting up a new event? Can I archive the old event and create a new one somewhere or would I have to create a compl"
2025-03-29,Backups / archiving / data retention,ITAA,"Last year, I submitted an abstract titled ""Exploring Global Market Access Challenges Faced by Entrepreneurial Artisans: A Case Study of Kenya."" Although it was not accepted, I would like to review the reviewer comments to address their feedback before revising and resubmitting. The submission appears to be archived. Please provide me with access so I can review the feedback. Thanks, Caroline Kobia"
2025-04-03,Backups / archiving / data retention,Periodical Backup of the Contents Oxford Abstracts,"Hello, We already paid for the Abstract Management software, which will officially go live tomorrow. As an administrator of the paper management system, I have one question. Is it possible to periodically back up the paper management system? The reason is to be able to restore the system if it is accidentally deleted. Thank you. Nanda DR. NANDA GANESAN Professor Department of Information Systems C"
2025-04-03,Backups / archiving / data retention,Periodical Backup of the Contents Oxford Abstracts,"Hello, We already paid for the Abstract Management software, which will officially go live tomorrow. As an administrator of the paper management system, I have one question. Is it possible to periodically back up the paper management system? The reason is to be able to restore the system if it is accidentally deleted. Thank you. Nanda DR. NANDA GANESAN Professor Department of Information Systems C"
2025-04-03,Backups / archiving / data retention,Periodical Backup of the Contents Oxford Abstracts,"Hello, We already paid for the Abstract Management software, which will officially go live tomorrow. As an administrator of the paper management system, I have one question. Is it possible to periodically back up the paper management system? The reason is to be able to restore the system if it is accidentally deleted. Thank you. Nanda DR. NANDA GANESAN Professor Department of Information Systems C"
2025-05-02,Backups / archiving / data retention,Broken URL link,"Hello, I am trying to submit my abstract for the ACHNE 2025 conference but the URL directs me to the login page and says ""event ACHNE 2024 is archived"". see attached screenshot and please advise. Thank you!"
2025-05-15,Backups / archiving / data retention,Added two fields to active submission form,"Hello, I needed to add two fields to my already active submission form today, which I successfully did. Prior to adding those fields, there were either 4 or 5 incomplete proposals submitted, with the remainder all showing as Complete. Post adding those two fields, all submissions are now showing as Incomplete. Is there a way of looking at a backup of the data from yesterday, to detemrine which sub"
2025-06-17,Backups / archiving / data retention,Invoice,Requesting the Invoice for 2024 DCOP that was paid for please. It is archived so cannot assess it. Thank you
2025-07-24,Backups / archiving / data retention,Need Access,"Hello, I logged into oxford abstracts and both of my events were archived. I need access to my 2025 abstracts as the conference is tomorrow and we use this data for judges and presenters. Please provide access again ASAP"
2025-08-05,Backups / archiving / data retention,Needing a better sponsor display function on the conference homepage,"Hello, We have been brainstorming solutions to give the event sponsors better visibility on the conference homepage in a way that doesnt render it unusable on mobile or smaller screens. Last year, we had added the sponsors as images under the page links on the left sidebar menu, but I imagine it got little visibility as people don't tend to scroll down a sidebar. We also displayed a pdf of all the"
2025-08-11,Backups / archiving / data retention,WORK: adding a vimeo live stream video window,"Hello, The WORK conference is approaching and we are live streaming the Keynote talks. Our technical team uses Vimeo for video platform. To test this in advance, I'm trying to embed a video window to the conference programme (as we did in the WORK2023, now an archived event). I have created a test session (the last session in the online programme) and I have tried to embed the test video there to "
2025-08-11,Backups / archiving / data retention,Error with published programme link,"Hello, We have used the Published Programme link (https://virtual.oxfordabstracts.com/event/73433/titles) and linked it to our event app (Swapcard) to allow the app users to search through abstracts. However, when Android users access the link, they are unable to scroll back up once they have scrolled down through the abstracts, please see video attached. The issue does not happen on iPhone. Could"
2025-09-25,Backups / archiving / data retention,Live program is down and Event Administrator Login won't work,"Hi, Our conference program link to TASA 2025 which is https://virtual.oxfordabstracts.com/event/74508/program) is currently not loading Instead we are getting the following message, "" Error The event failed to load"" And when i try to login to our event using [email] ( which is the event administor for this event) the system is telling me a Status code 500. I really need this site back up ASAP. Can"
2025-11-05,Backups / archiving / data retention,Abstract coauthor signature,cannot find way to sign ASNR 26 submitted abstract. Link takes me only to archived ASNR 25 event.
2025-11-05,Backups / archiving / data retention,Unable to provide author information for 2026 ASNR abstract submission,"Each time I follow the link and login to Oxford Abstracts, I am getting an error that the 2026 ASNR has been archived. Can you provide me with the solution? Thank you,"
2025-11-05,Backups / archiving / data retention,"Error Message in Accessing ""Author information required"" Link","To whom this may concern, I have received an invitation to fill out additional information as an author for an ASNR submission, but receive an Event Archived error message when trying to access via the provided link in the email. I would appreciate any guidance in how to access this information, as I cannot via my Dashboard either. Take care, Jakob von Morgenland"
2025-11-06,Backups / archiving / data retention,Even Archived - Cannot Fill Out Author Info,"Hello, I was a co-author on an abstract recently submitted for the American Society of Neuroradiology. I received an email to log in and fill out required author information - however, when I try to log in, I receive an error message that the ""event has been archived by an administrator"" and to contact Oxford Abstracts support for more information. Please unlock my account so I can fill out the re"
2025-11-13,Backups / archiving / data retention,Stripe account for our site is inaccessible,"Our owner/super admin account for our OA stripe is inactive and we are not able to login to it. The emergency backup code we have is not working, and we are not able to authenticate with photo ID because it is setup for a generic account ([email]). We were told to contact you because this is an OA account. I would like to have Jamie Wilson designated as the super admin."
2025-11-25,Backups / archiving / data retention,ASGBI 2021,"Hi, I would like to get the full programme for ASGBI 2021. As I presented there 2 posters and 1 talking poster. The site showing it is Archived. Is it possible to get it? thanks"
2025-12-02,Backups / archiving / data retention,archived events,"Hi, I'm trying to access my past events and can't. Would you kindly assist? Thanks!"
2025-12-15,Backups / archiving / data retention,Lessons and Legacies Submission,"I have submitted a panel for the 2026 Lessons and Legacies Conference twice by mistake. The title of the panel is ""Hidden Archives I. Fragmented and Contested Memories "" I believe that the panels were listed as 50 and 51. There was a small typo on 50, which I have now fixed, so 51 can be deleted. However, I have also not received a confirmation of my panel submission."
2026-01-30,Backups / archiving / data retention,Cannot submit an abstract for HPAI 2026,2025 event loading on my dashboard which is archived. No option to add an abstract for 2026
2026-02-05,Backups / archiving / data retention,Abstract submission,"I started submission of my abstract and then went back and instead of saving and letting me continue latter, it says now that it is ARCHIVED and to contact"
2026-02-12,Backups / archiving / data retention,Archived content,I am looking to create a new event and I see that the content for the previous event I worked on is archived. Is there any way to access it again? I would like to look at setting etc to create the new event.
2026-02-13,Backups / archiving / data retention,"Dashboard Empty, Cannot See Archived Events","Hi! I logged back in to Oxford after a while, and my dashboard page is now blank and I can only see one Archived event, when I should be able to see all the MPS events. Could you help me with this? Thank you!"
2026-02-18,Backups / archiving / data retention,NA,"i wish to delete my account but cannot as it says account connected to an event, however this event is in the past and archived."
2026-05-14,Backups / archiving / data retention,cargar archivo,no puedo cargar archivo
2026-05-28,Backups / archiving / data retention,Accessing prior account for APBS,"I have taken over the event planning for the Association for Positive Behavior Support (APBS) and I am a current board member. We used Oxford Abstracts in the past (2024 conference) but I don't believe we used Oxford for our 2025 or 2026 conference, we are thinking about using Oxford for our next call for proposals. Is it possible to see if you have archived information that we could replicate if "
2026-05-30,"Backups / archiving / data retention, Downloading submissions as files",latinsotl 2025,"Here is the final version in English, incorporating the compliments about the platform, the confirmed renewal for 2026, and explicitly stating that the issue is with downloading the 2025 proceedings (Abstract Books). Subject: Support Request: Include Author Emails in 2025 Abstract Books and Individual File Exports Message: Dear Oxford Abstracts Support Team, I hope this message finds you well. I a"
2025-01-07,Downloading submissions as files,Downloading Abstracts as Individual Files not working,"I am trying to download ""Accepted abstracts as individual files"" as PDF but the building export continues to spin at 20.76% and won't move past that. I have stopped and started it a few times. (see the screen shot I attached)"
2025-02-25,Downloading submissions as files,Trying to download all abstracts as pdf files,"I am trying to download the Abstracts stage - all abstracts as individual files. I can do it in word but not as a pdf. It says Export Failed - often after 11.5%, I have been trying since Friday."
2025-02-26,Downloading submissions as files,Cannot download all Abstracts as Individual PDFs,"I would like to download all of the uploaded files for the submission as a SUBMISSIONID.pdf format. Is there any way to do that? I tried to download all accepted submission as a pdf button and it gave me an error every time: ""Export Failed""."
2025-03-17,Downloading submissions as files,File will not download,"Hello, I am trying to download the all abstracts as individual files PDF. My computer keeps freezing at 11% of the export, and I had my colleague download this information and she ran into the same issue - freezing at 11.15%."
2025-03-19,Downloading submissions as files,Download of individual abstracts,"Dear Sir/Madam, Greetings. We are not able to download the abstracts as individual files. It remains stuck at 11.00%. We have been trying since yesterday but in vain. Looking forward to reading from you soon. Kind regards, Lydia"
2025-04-23,Downloading submissions as files,Download of all abstract files,Is there a way of downloading all abstract files at a time ? Or do we have to download them one by one (which is quite fastidious)? Many thanks in advance for your help. Best regards Nathalie
2025-04-30,Downloading submissions as files,Issue with abstract with image exported as individual file,"Hi. I am testing the submission with image in the text field. When exporting all abstracts as individual files in Word format (DOCX), the image is displayed in a very small size and very low quality. Example: Submission ID 4 https://app.oxfordabstracts.com/events/74964/submissions/1063150/abstract-book-view When exported to PDF, it looks as submitted and with good quality, so the issue is with Wor"
2025-06-13,Downloading submissions as files,Download the Abstract Content,"Hello, is there a way to download the Abstract content? I refer to the narrative of each submission. What I need is to put together all 'accepted' abstract. I've attached an example"
2025-09-04,Downloading submissions as files,Bulk Download attached files as part of all submissions,"I have two related questions. As part of our submission process the author attaches a file which is their draft paper. 1. Is there a way as the administrator to download all attachments in bulk? I see there is a way to download all submissions as individual PDFs, but it does not give me the attachments. 1. Reviewers have asked to download all of their assigned submissions so they can review their "
2025-09-23,Downloading submissions as files,I need indivdual submitted abstracts with no name on files,"Hi, Can you please send me all submitted abstracts as individual files with no names for some blind peer review and programming tasks. I see no option to create such a download with no names. It could also be in one file."
2025-11-05,Downloading submissions as files,Abstract book download sometimes missing keywords.,"Hello, when we download our abstracts from the reports and downloads menu, it is sometimes missing the keyword field. (Yes, we have checked that there are abstracts that have filled out the optional keyword field but it still did not appear in the book). Would it be possible to do one of the following - investigate how to get the keyword field to consistently show up OR - tell us how to bulk downl"
2026-01-08,Downloading submissions as files,Export figures,How can abstracts with pictures (figures) be exported in the free version? The zipped individual files download only contain the symbol but not the picture.
2026-01-26,Downloading submissions as files,Download all submissions (all content),"I cannot find the way to download all responses, only abstracts as pdf or only supporting materials, and on the excel, only author data. Please advise asap!"
2026-03-09,Downloading submissions as files,Download .zip not working,"When I choose the 'download filtered responses' option under the Submissions / Table / Slide Submissions tab, for example for [phone] it just sits and gets stuck in a loop. It was working yesterday 08 March. It only seems to work now when downloading individual files, which is time-consuming, Thanks, Paul"
2026-05-08,Downloading submissions as files,GraphQL usage to download all submissions,"Hi, I am creating a tool that takes an event-id and api-token to download all submissions in their PDF format to prepare an upload file to CEUR. I am struggling a bit with your GraphQL api, where I am seeing differences in responses between using the https://graphql-docs.oxfordabstracts.com/ and accessing the data from Java. I get the right response when using the explorer, but the same query usin"
2026-06-11,Downloading submissions as files,SCTS Abstracts,Hi I am trying to pull a report of all accepted abstracts in one book altogether rather than individual files? Is this possible?
2025-01-22,Email address change / merging accounts,Can't change email.,"My account is setup as [email] However, i have now left this institution. I have tried to change the email address following your instructions, however, every time I try to do so your interface tells me ""failed to save"". The correct email is [email]"
2025-02-24,Email address change / merging accounts,change the contact email address,I need to change the contact email address on two abstracts that have been submitted. Someone submitted them on behalf of someone else but they are unable to log in and change the email address also.
2025-02-28,Email address change / merging accounts,Cannot change email,"I cannot change my email address. It says ""Email failed to save."" I have tried with multiple browsers with blockers turned off, but it still has not worked."
2025-03-17,Email address change / merging accounts,Change of Email Address,"Unfortunately, the private email address that is linked to my Oxford Abstract account has been hecked and deleted without my permission. Against this background, I cannot access the emails that were sent to [email] I intended to change the email address to my professional email ([email]), but that immediately failed. As I require access to the emails sent with regard to the ICON-S conference, I wo"
2025-04-23,Email address change / merging accounts,Change Email,"Hello, I need to change my email address from [email] to [email] and understand it can be done through the profile. I do not know my password and can not reset due to the resetting instructions being sent to the email that I no longer have access to. Would you be able to assist to reset a password"
2025-04-30,Email address change / merging accounts,changing email address,"Hello, my old institutional email address will be expiring tomorrow and I need to update my email address. I tried to do it myself but it kept saying ""failed to save new email"". How can I change my email address for my administrator profile?"
2025-05-08,Email address change / merging accounts,Changing Email Address,"Hello, When attempting to change my email associated with my Oxford Abstracts account, a red error message pops up simply saying, ""failed to change email address."" I am trying to make my account associated with my personal email to be reassigned to my work email and have been getting this error for multiple weeks now. Any guidance would be appreciated. Spencer Barrett"
2025-05-19,Email address change / merging accounts,Email address,I need to change my email address from [email] to [email] so I can complete registration for the event.
2025-06-26,Email address change / merging accounts,Reviewer wants to change email address without losing reviews,"Hello, One of our abstract reviewers has completed their reviews under a different email address ([email]) although the initial review request went to [email] Are we able to rectify this without losing the reviews that they have already completed? Many thanks, Hannah"
2025-07-14,Email address change / merging accounts,remove account from this event,I have a duplicate account in this event. Please remove the account with email [email] from this event. Thank you.
2025-08-21,Email address change / merging accounts,Duplicate user account with different email addresses,"Hi, I submitted an abstract to the PCCS Belfast 2025 website using my personal email address ""[email]"". The abstract has been accepted & it is registered on the Oxford Abstracts website with the above email address. My organisation submitted my conference registration using my work email address ""[email]"". Now I have two accounts on the Oxford Abstracts website: one with the conference registratio"
2025-08-25,Email address change / merging accounts,Changing e-mail address (urgent),"Hello, I have been attempting to change my e-mail address, but I keep getting a message stating 'failed to save e-mail'. Can you assist me with this? Thank you!"
2025-10-10,Email address change / merging accounts,Duplicate Accounts/Submission,"Hello, Can you please delete my [email] account OR merge it with my new account: [email] I no longer work at the University of Michigan, and I no longer have access to my [email] inbox. I also just accidentally used the [email] account to submit a proposal for the AECT 2026 Online conference (Submission #174). Can you please delete it, as I submitted the same proposal using my correct account ([em"
2025-10-25,Email address change / merging accounts,account merg,I created two accounts by mistake. Would it be possible to merge the two accounts? My other account is registered with email [email] I want that one to be my account. Please advise. Thank you. Shin Miyata
2026-02-27,Email address change / merging accounts,Typo in new email,"Hallo. I wanted to change my email address for my account from [email] to [email] Unfortunately, the new email address I inserted had a typo. [email] The letter n after the word evidence. I therefore have not received the verification email, and the old email address is not recognised by the system. I seek support so I can start the process again with the new, correct email address. Thanks"
2026-02-27,Email address change / merging accounts,Change email address,"Dear, I have changed universities and I need to log in with my new email address ([email]). When I try to do so it says I already have an account (although when I try to log in it says (this email is not associated with an Oxford Abstracts account). Could you please transfer my registration for EPSS 2026 to the new email address? Order reference: E2BE1"
2026-04-01,Email address change / merging accounts,Request for assist to change an abstract author's email address,Request for assistance to change email address for one of the submitted abstracts: Abstract author Miss Huixiang LAI (email: [email]) for submission 121: Digital Pulmonary Rehabilitation requesting that all emails go to co author (4th author) Ms Shouzhen CHENG: [email]
2026-05-01,Email address change / merging accounts,change email address,"Hello! I tried to change the email address associated with my account, but I got an error saying that ""Failed to save email. A user already exists with that email address"". But this couldn't be possible, because when I try to log in with that email address, it says that there is no user associated with it. Can you please change the email address of my account to: [email] Thank you."
2026-05-12,Email address change / merging accounts,"Blocked email, lost password","My account is using an email I no longer have access to, and apparently I do not have the latest password I used to purchase for a conference. So I cannot reset my password and I cannot change my email address. I havent been getting notifications from the conference I'm going to, the recently forwarded me the info. Can you please help me? The account is tied to the email address: [email]"
2026-06-04,Email address change / merging accounts,Merge Accounts,I am trying to merge my account that is [email] with my current account that is [email]
2025-07-24,"Email address change / merging accounts, Backups / archiving / data retention",Accessing Archived Event,"I had an event for a different client in 2021 that we used Oxford for. One of the speakers has passed away and a colleague is asking if I have access to his video presentation from the IS3NA Virtual Symposium that year - Prof. Olgilvie. I got logged into the old account, but I can't see the event itself - it says it was archived by the administrator (see attachment) - but I'm confused because I wa"
2025-01-12,"Email address change / merging accounts, Wrong or duplicate account used",Cannot change email address of a reviewer,"One of reviewers of the event would like to change his email address because his current email address will be unaccessible by March 2025. He tried to change the email address following the instruction. However, he encountered the message ""Failed to save email"" and could not change the email address. Would you change the address [email] to [email] on his behalf? Creating another account with [emai"
2025-09-30,"Email address change / merging accounts, Wrong or duplicate account used",Request to Merge Oxford Abstracts Accounts,"Hello, My name is Maria Adelaida Martinez, and I currently have two accounts on Oxford Abstracts. I would like to merge them because the email associated with one of the accounts, [email] , is no longer active, as I have graduated and am no longer a student. I would like both accounts to be merged under my current email, [email] , which I use as an Assistant Professor at Bentley University. I crea"
2025-01-06,Emails not delivered / bounced / spam,Certificate,"I was not able to login , when I requested for a password reset I was not receiving the link through email , I contacted through calling the PCICU and sending emails , but unfortunately, no reply"
2025-01-13,Emails not delivered / bounced / spam,Sent email,"I have 1 notification under 'sent logs'. I am guessing this is to highlight the email that bounced? If so, how do I delete or clear this notification?"
