section,current title,proposed title,current slug,proposed slug,why
01-getting-started,An overview of the tables function,Working with tables,an-overview-of-the-tables-function,working-with-tables,Wordy
01-getting-started,Creating an account with Oxford Abstracts and logging in,Creating an account with Oxford Abstracts and logging in,creating-an-account-with-oxford-abstracts,creating-an-account-with-oxford-abstracts-and-logging-in,
01-getting-started,Different types of users in the system,,different-types-of-users-in-the-system,,No change
01-getting-started,Abstract management checklist,Abstract management checklist,event-administrator-checklist,abstract-management-checklist,
01-getting-started,Event dashboard,,event-dashboard,,No change
01-getting-started,Event details,,event-details,,No change
01-getting-started,Event theme,,event-theme,,No change
01-getting-started,"Admins: Guidance for dealing with submitter, reviewer and committee etc. issues","Helping your submitters, reviewers and committee with problems",faq-guidance-for-admins-dealing-with-end-user-issues,helping-your-submitters-reviewers-and-committee-with-problems,"FAQ prefix remnant; ""etc."" in title"
01-getting-started,How to test the accessibility of Oxford Abstracts web pages,Testing the accessibility of Oxford Abstracts web pages,how-to-test-accessibility-of-oxford-abstracts-web-pages-with-google-lighthouse,testing-the-accessibility-of-oxford-abstracts-web-pages,Style: uniform sentence case / task phrasing
01-getting-started,How to use the Search Bars,Using the search bars,how-to-use-the-search-bars,using-the-search-bars,Style: uniform sentence case / task phrasing
01-getting-started,Manage users,,manage-users,,No change
01-getting-started,Creating and paying for a new event,Creating and paying for a new event,paying-for-your-event,creating-and-paying-for-a-new-event,
01-getting-started,Recommended Dimensions for Picture Uploads,Recommended dimensions for picture uploads,picture-dimensions-for-upload,recommended-dimensions-for-picture-uploads,Style: uniform sentence case / task phrasing
01-getting-started,The essential abstract management tools,The essential abstract management tools,the-essential-tools,the-essential-abstract-management-tools,
01-getting-started,Updating your profile,,updating-your-profile,,No change
01-getting-started,What are the differences between the free package and paid packages?,,what-are-the-differences-between-the-free-package-and-paid-packages,,No change
01-getting-started,What to do if you're not receiving Oxford Abstracts emails to your inbox,If your verification email hasn't arrived,what-to-do-if-a-verification-email-hasnt-arrived-in-your-inbox,if-your-verification-email-hasn-t-arrived,User-voice troubleshooting title
01-getting-started,What to do when you have a 'Network Failure' error message.,"Fixing a ""network failure"" error",what-to-do-when-you-have-a-network-failure-error-message,fixing-a-network-failure-error,User-voice troubleshooting title
01-getting-started,Your personal dashboard,,your-personal-dashboard,,No change
02-submissions,Accessing reviews from previous stages,,accessing-reviews-from-previous-stages,,No change
02-submissions,The authors and affiliations question,The authors and affiliations question,adding-author-information-questions,the-authors-and-affiliations-question,
02-submissions,Charging a fee for submission,,charging-a-fee-for-submission,,No change
02-submissions,Combined word count,,combined-word-count,,No change
02-submissions,Creating questions / forms to be answered by individually by authors and/ or presenters.,Creating questions for individual authors and presenters,creating-forms-to-be-answered-by-authors,creating-questions-for-individual-authors-and-presenters,Grammar error and 88-character title
02-submissions,Creating multi-stage submission forms,Creating Multi-stage submission forms,creating-multi-stage-submission-forms,,Style: uniform sentence case / task phrasing
02-submissions,Deleting / restoring or withdrawing a submission,"Deleting, restoring or withdrawing a submission",deleting-_-restoring-or-withdrawing-a-submission,deleting-restoring-or-withdrawing-a-submission,Underscore artifact
02-submissions,Dependency questions,,dependency-questions,,No change
02-submissions,Designing the submission form,,designing-the-submission-form,,No change
02-submissions,Editing a user's submission,Editing a user's submission,editing-a-users-submission,editing-a-user-s-submission,
02-submissions,How to bulk upload and automatically assign files,Bulk upload and automatically assign files,how-to-bulk-upload-and-automatically-assign-files,bulk-upload-and-automatically-assign-files,Style: uniform sentence case / task phrasing
02-submissions,How to change the owner of a submission,Changing the owner of a submission,how-to-change-the-owner-of-a-submission,changing-the-owner-of-a-submission,Style: uniform sentence case / task phrasing
02-submissions,How to create a Multi-Language Submission Form,Creating a multi-language submission form,how-to-create-a-multi-language-submission-form,creating-a-multi-language-submission-form,Style: uniform sentence case / task phrasing
02-submissions,How to enable and disable Inline Comments as an admin,Turning inline comments on and off,how-to-enable-and-disable-inline-comments-as-an-admin,turning-inline-comments-on-and-off,Wordy
02-submissions,How to use Submission Analytics,Using submission analytics,how-to-use-submission-analytics,using-submission-analytics,Style: uniform sentence case / task phrasing
02-submissions,Making a submission on behalf of someone else,,making-a-submission-on-behalf-of-someone-else,,No change
02-submissions,Managing a sequential multi-stage event - eg. abstract followed by full paper.,Running a sequential Multi-stage event,managing-a-sequential-multi-stage-event-eg--abstract-followed-by-full-paper,running-a-sequential-multi-stage-event,"""eg."" and trailing full stop in title"
02-submissions,Multi-stage - the decision stage,Multi-stage - the decision stage,moving-submissions-to-a-different-stage,multi-stage-the-decision-stage,
02-submissions,Multi-stage reviews,,multi-stage-reviews,,No change
02-submissions,Open and close submissions / call for abstracts,Opening and closing submissions (deadlines),open-and-close-submissions-_-call-for-abstracts,opening-and-closing-submissions-deadlines,"""Deadline"" searched 24x with 4 clicks; word absent from every title"
02-submissions,Question setting tags,Question setting tags,question-tags,question-setting-tags,
02-submissions,Question types,Submission question types,question-types-1,submission-question-types,"""-1"" duplicate-slug suffix from HubSpot"
02-submissions,Restricting who can submit by email,,restricting-who-can-submit-by-email,,No change
02-submissions,Setting up a multi-stage event,Setting up a Multi-stage event,setting-up-a-multi-stage-event,,Style: uniform sentence case / task phrasing
02-submissions,Text editor types,,text-editor-types,,No change
02-submissions,The Submissions Table,The submissions table (including incomplete submissions),the-submissions-table,the-submissions-table-including-incomplete-submissions,"""Incomplete submission"" searched 11x, zero clicks"
02-submissions,Word and character count,,word-and-character-count,,No change
03-reviewing,Assigning and unassigning a submission to a reviewer,,assigning-and-unassigning-a-submission-to-a-reviewer,,No change
03-reviewing,Controlling what the reviewer can see,,controlling-what-the-reviewer-can-see,,No change
03-reviewing,Designing the review form,,designing-the-review-form,,No change
03-reviewing,Editing a review or completing a review on behalf of a reviewer,,editing-a-review-or-completing-a-review-on-behalf-of-a-reviewer,,No change
03-reviewing,How to chase up late reviews,Chasing up late reviews,how-to-chase-up-late-reviews,chasing-up-late-reviews,Style: uniform sentence case / task phrasing
03-reviewing,How To Create The Reviewer Recruitment Form and Assign Categories,Creating the reviewer recruitment form and assign categories,how-to-create-the-reviewer-form-and-assign-reviewers,creating-the-reviewer-recruitment-form-and-assign-categories,Style: uniform sentence case / task phrasing
03-reviewing,Notifying reviewers that they have been assigned submissions to review,,notifying-reviewers-that-they-have-been-assigned-submissions-to-review,,No change
03-reviewing,Opening / closing reviewing,Opening and closing reviewing,opening_-closing-reviewing,opening-and-closing-reviewing,Underscore artifact in slug
03-reviewing,Review question types,,review-question-types,,No change
03-reviewing,Show reviews to submitters,Showing reviews to submitters,show-reviews-to-submitters-1,showing-reviews-to-submitters,"""-1"" duplicate-slug suffix"
03-reviewing,The review tables,,the-review-tables,,No change
03-reviewing,Tips on designing your reviewing form,,tips-on-designing-your-reviewing-form,,No change
04-decisions,Assigning program codes in the decisions table,,assigning-program-codes-in-the-decisions-table,,No change
04-decisions,Design the decision form,,design-the-decision-form,,No change
